initial_beta,LCC
3.60688093683134,1251.1602
3.1490823056549404,2845.6216
2.6171080262028834,3207.1208
3.993155446965547,799.8105
3.5983304185687555,1283.1637
3.226904205245705,2294.486
3.6118639062670437,1169.8964
3.753461232022603,1019.6647
3.972343679608659,848.4748
4.199897930159723,786.72736
3.923908826972468,868.0731
3.501216073005096,1462.6968
3.4741115696331986,1482.495
4.199280668830006,744.27466
3.499934928189175,1465.15
4.13122852973209,764.2888
2.507582728268074,3371.53
3.157049622919138,2843.4165
3.015072089475969,2892.1887
3.0017221577819044,2897.958
3.0474782309889363,2879.1147
4.140067866211476,763.86444
4.013306916671028,814.6761
3.5496724347738393,1378.4893
3.496494020515588,1299.223
2.500046444615405,3384.6147
2.596602876008237,3234.4832
3.5032770970472598,1459.6428
2.82529779887949,2999.913
3.069047921368663,2871.1006
3.8196136738593394,974.21106
3.0765116127571037,2868.4487
3.000039819325225,2898.7017
3.0059244513544545,2896.117
4.199918349542343,786.73804
4.199996747158071,786.71204
3.856501084297574,941.4143
3.92190598371415,878.08185
3.6030946398230355,1100.5325
4.193339054937044,745.72675
2.677930634649514,3134.1223
3.0521011694996454,2877.3523
4.199923802409816,786.7366
3.3351617192021554,2070.573
2.506416790613631,3373.5383
4.199943585002676,786.7299
3.0526529745799222,2877.1436
3.884256414627648,915.7035
2.515506410903816,3358.037
3.212274369761893,2227.6265
3.892253655469458,843.22864
3.561545429644886,1273.4723
3.6225876564795327,1241.6674
2.9206572459863613,2938.3765
2.7091924127487568,3100.9656
3.0074073831000874,2895.4727
4.150825295837869,752.95544
4.198417392139237,744.5576
3.468515285317456,1491.7957
2.681145435039147,3130.5825
3.3492774938377186,2213.5938
2.5819627624002766,3254.9304
2.501284367875029,3382.4482
3.498331884286018,1464.052
3.0252346686842575,2887.9497
3.5000213284039767,1465.1123
3.8584859976903974,929.3163
3.0821932933690324,2866.4702
4.155334235221569,758.2373
3.531343425419625,1411.759
3.588742460808064,1296.4739
3.467223848522737,1404.932
2.5002905513138067,3384.187
4.197834783474772,744.7311
2.8368322569385143,2991.5474
2.5301895119102276,3333.7341
4.042225452072653,799.6798
3.4118080321860957,1504.6654
2.5143463378236595,3359.9958
3.013544685233971,2892.837
3.000036351173688,2898.7031
2.8312043677668925,2995.595
3.923322816785499,884.00037
3.3003725502107604,2199.6233
4.100778176874541,778.6616
2.5016025314339974,3381.8928
3.053910949839018,2876.6692
3.156049900200815,2843.6902
4.1995139646783075,744.2321
4.195554294810432,745.3
2.991203570952169,2902.6694
2.9587039026439133,2918.1973
3.4720108390271087,1456.4736
2.8306464302851237,2995.9998
3.576912634150488,1322.0673
2.584754459808897,3250.9712
3.0211620052411763,2889.6328
3.686086001544728,1089.3416
4.19055478055938,746.7966
3.500145345200386,1464.2922
4.098140065237582,776.00684
3.2035624812897443,2062.7463
3.499574810061261,1465.3605
3.5010199049581945,1462.9886
2.5005731570603715,3383.6921
3.5019421919785403,1461.5995
2.826244779871473,2999.2158
3.8452730742252603,952.2162
3.4167353524712256,1260.7346
3.8650154462186563,913.55347
3.879697198454396,901.5485
4.199336247901567,744.28595
4.179550276296619,750.1833
4.000255205944426,830.6475
4.143049957430296,762.7854
3.4670037019618114,1483.2675
4.199966988856901,786.7216
2.5002312179335333,3384.291
3.888770040924239,912.4369
2.5295260287420898,3334.813
3.5154087803510525,1437.5007
4.093855819554785,782.27783
3.5000013032212873,1465.142
4.027733584723179,814.7909
3.2736328315125043,2120.337
2.5078713364534173,3371.034
3.504247068073038,1458.212
3.1133449945333522,2856.2192
4.182130309518201,747.2326
3.4279893632786327,1509.3221
2.606302595375446,3221.3572
2.508308535759594,3370.283
3.626662458708622,1207.76
2.6643626225981687,3149.4014
3.509497194118576,1448.7759
3.5000099315152666,1465.128
3.3112026590392682,2197.3547
4.178463048852295,750.0239
3.5001285624767178,1464.3173
2.5136746474578273,3361.1326
3.4077605784500844,1544.0858
2.560453651517419,3286.4075
3.607933242096554,1264.2781
3.0455200250207723,2879.8687
3.440921813184458,1515.6993
4.199981224670831,786.7172
3.5021458144173163,1180.555
2.8546854952237872,2979.1267
3.529695720576622,1414.19
4.189883098057696,746.3168
3.018901567748473,2890.576
3.662734217295538,1177.6813
3.452839491877558,1500.4207
3.0802439801930426,2867.145
2.8301358676487087,2996.3706
3.214536069711444,2308.3682
2.96500067041076,2915.0706
3.3180222487494824,2070.9287
3.013188207264298,2892.9888
3.4999999032846154,1465.1439
3.5000000413987293,1465.1438
3.550805158752049,1169.4631
3.0003799130893722,2898.551
3.0034585795410287,2897.1943
3.5000021101369265,1465.1409
2.9364511360784067,2929.725
3.7999572405466226,997.2652
4.19716751504256,744.9318
3.4200717070147797,1534.3481
3.370054456211924,1449.6346
3.4991773543026996,1465.7567
3.512250080781218,1444.6329
3.517861820027911,1374.9229
4.157473206915848,752.67847
3.9621240254965766,855.3126
2.5509853692198288,3300.8237
3.988956693440373,835.7449
4.198745641031786,744.46045
3.5000699215583735,1464.4048
3.5383463110417175,1397.8291
3.051102689769756,2877.7307
4.181599235377224,749.5347
3.506156815289547,1455.5366
2.9487379515187984,2923.2666
4.194068743769498,745.7475
3.2463113926203206,2186.4443
3.000471335115189,2898.5105
2.541552695312758,3315.5361
2.5010003302945285,3382.9448
2.5406468681572543,3316.9675
4.050541150806358,795.8584
4.034671864923091,810.9551
3.5033083999972203,1457.6733
2.525188816620072,3341.9102
4.104981391103589,777.5201
3.0395329035029097,2882.2021
2.766867801169633,3046.718
3.557126819112412,1347.3656
2.7150448246317116,3095.0635
2.527684281605935,3337.8171
4.199512350576745,744.2333
3.129648607807068,2851.237
3.460927943081693,1482.9048
3.337892304915194,1837.4915
3.682885887294384,1147.5328
3.436529013364816,1520.1602
3.5343516371647388,1406.8287
4.199661407955047,744.1896
3.4746361873826,1485.8142
4.197415254569684,744.8577
2.9759486512381716,2909.7715
3.4999791225219195,1465.143
4.036347099814523,802.51984
2.6405096744769727,3177.6367
3.159534843176257,2842.74
3.505814437393462,1456.1542
3.0020867713198425,2897.7974
4.110821600960343,774.6383
3.012990912407079,2893.0728
3.046021554235422,2879.675
3.5000315613079813,1465.0967
4.10895570161514,775.9659
4.199481631460682,744.2236
3.015724615549949,2891.9124
3.3833258047114394,1434.6519
4.1897803244068585,746.61865
3.9377888185308447,872.9173
3.2637037554739603,2272.6917
